Drug ID,Drug Name,Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Mechanism of Action,Side Effects,Contraindications,Interactions,Warnings and Precautions,Pregnancy Category,Storage Conditions
1,Aspirin,Acetylsalicylic Acid,Analgesic,Headache,Tablet,325 mg,Oral,Inhibits prostaglandin synthesis,Stomach irritation,Allergy to NSAIDs,Anticoagulants: increased bleeding risk,Gastric ulcers: risk of bleeding,Category C,Room temperature
2,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,500 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature
3,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,10 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature
4,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,100 mcg/inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature
5,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,20 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
6,Levothyroxine,Levothyroxine,Hormone,Thyroid Disorder,Tablet,50 mcg,Oral,Replaces or supplements thyroid hormone,Dizziness, Heart palpitations,Adrenal insufficiency: monitor carefully,Take on an empty stomach,Category A,Room temperature
7,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,20 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
8,Metformin,Metformin,Oral Antidiabetic,Type 2 Diabetes,Tablet,1000 mg,Oral,Decreases glucose production by the liver,Diarrhea, Lactic acidosis,Kidney problems: avoid in severe impairment,Take with meals,Category B,Room temperature
9,Ibuprofen,Ibuprofen,NSAID,Pain and Inflammation,Tablet,200 mg,Oral,Inhibits prostaglandin synthesis,Upset stomach, GI bleeding,Allergy to NSAIDs,Anticoagulants: increased bleeding risk,Category C,Room temperature
10,Ciprofloxacin,Ciprofloxacin,Fluoroquinolone,Bacterial Infections,Tablet,500 mg,Oral,Inhibits bacterial DNA synthesis,Nausea, Tendon rupture,Antacids: reduced effectiveness,Take 2 hours before or 6 hours after antacids,Category C,Room temperature
11,Alprazolam,Alprazolam,Anxiolytic,Anxiety,Tablet,0.5 mg,Oral,Enhances effects of GABA in the brain,Drowsiness, Addiction history,Benzodiazepines: additive effects,Avoid alcohol,Category D,Room temperature
12,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,150 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature
13,Atorvastatin,Atorvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
